Formatted Date,Summary,Precip Type,Temperature,Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure,Daily Summary,hit_type
2014-04-16 15:00:00.000 +0200,Mostly Cloudy,rain,13.75,13.75,0.4,31.5399,29,16.1,0,1015.62,Mostly cloudy throughout the day and breezy starting in the evening.,actual
2014-04-16 16:00:00.000 +0200,Breezy and Mostly Cloudy,rain,12.85,12.85,0.41,34.5184,30,10.2557,0,1015.29,Mostly cloudy throughout the day and breezy starting in the evening.,actual
2014-03-15 09:00:00.000 +0100,Partly Cloudy,rain,12.31666667,12.31666667,0.5,15.3916,183,12.075,0,1015.2,Mostly cloudy starting in the morning and windy in the evening.,actual
2014-03-17 08:00:00.000 +0100,Mostly Cloudy,rain,14.81666667,14.81666667,0.48,25.4058,308,16.1,0,1015,Partly cloudy throughout the day and windy starting in the morning continuing until afternoon.,actual
2014-03-30 20:00:00.000 +0200,Partly Cloudy,rain,12.96111111,12.96111111,0.44,7.0679,121,15.5526,0,1015.74,Partly cloudy starting in the morning continuing until evening.,actual
2015-04-20 21:00:00.000 +0200,Mostly Cloudy,rain,11.29444444,11.29444444,0.49,11.3183,330,16.1,0,1015.07,Mostly cloudy starting in the morning and breezy starting in the afternoon continuing until evening.,actual
2015-04-20 22:00:00.000 +0200,Mostly Cloudy,rain,12.26666667,12.26666667,0.45,14.49,330,16.1,0,1015.77,Mostly cloudy starting in the morning and breezy starting in the afternoon continuing until evening.,actual
2015-03-11 18:00:00.000 +0100,Overcast,rain,11.02222222,11.02222222,0.5,14.7154,319,6.2951,0,1015.3,Mostly cloudy throughout the day.,actual
2015-03-21 18:00:00.000 +0100,Partly Cloudy,rain,10.22777778,10.22777778,0.42,12.4614,152,16.1,0,1015.13,Partly cloudy starting in the morning continuing until evening.,actual
2015-03-24 13:00:00.000 +0100,Clear,rain,14.98888889,14.98888889,0.46,23.6509,150,15.5204,0,1015.32,Partly cloudy starting in the afternoon.,actual
2015-11-15 14:00:00.000 +0100,Mostly Cloudy,rain,13.81666667,13.81666667,0.4,17.2753,211,16.1,0,1015.56,Mostly cloudy throughout the day.,actual
2016-03-18 14:00:00.000 +0100,Partly Cloudy,rain,12.82222222,12.82222222,0.45,13.041,253,16.1,0,1015.09,Foggy in the morning.,actual
2016-03-20 14:00:00.000 +0100,Partly Cloudy,rain,12.82222222,12.82222222,0.44,12.4775,289,10.2557,0,1015.9,Mostly cloudy until evening.,actual
2016-03-21 10:00:00.000 +0100,Mostly Cloudy,rain,10.83333333,10.83333333,0.5,24.6974,322,8.4203,0,1015.92,Partly cloudy starting overnight.,actual
2016-03-21 12:00:00.000 +0100,Partly Cloudy,rain,12.2,12.2,0.47,23.6992,302,15.1823,0,1015.83,Partly cloudy starting overnight.,actual
2016-03-21 13:00:00.000 +0100,Partly Cloudy,rain,12.67222222,12.67222222,0.44,19.7225,320,14.7637,0,1015.44,Partly cloudy starting overnight.,actual
2016-03-25 16:00:00.000 +0100,Mostly Cloudy,rain,10.03888889,10.03888889,0.4,8.9516,213,15.5526,0,1015.37,Mostly cloudy starting in the morning.,actual
